reference,name,price,height,length,width,weigth
17326,LAMPADA 0067 24V 10W NARVA (P.ENCONTRADO),"1,48",20,20,20,500
17327,LAMPADA TORPEDO LONGA 24V 10W NARVA,"2,34",20,20,20,500
17410,LAMPADA 1141 12V 15W NARVA,"2,20",20,20,20,500
17411,LAMPADA 1141 12V 15W NARVA,"2,20",20,20,20,500
17420,LAMPADA 1141 24V 15W NARVA,"2,52",20,20,20,500
17421,LAMPADA 1141 24V 15W NARVA,"2,52",20,20,20,500
17512,LAMPADA TORPEDO 15 X 43 MM 12V 21W NARVA,"4,08",20,20,20,500
17522,LAMPADA TORPEDO CURTA 24V 18W NARVA,"6,12",20,20,20,500
17629,LAMPADA 1156 12V 21W NARVA GR. (BASE VIDRO) AMBAR,"20,28",20,20,20,500
17631,LAMPADA SUPER PINGO 12V W16W NARVA,"5,16",20,20,20,500
17632,LAMPADA 1156 12V 21W NARVA (BASE VIDRO),"6,90",20,20,20,500
17634,"LAMPADA TORPEDO 15,5 X 41 MM 12V 21W NARVA","4,90",20,20,20,500
17635,LAMPADA 1141 12V 21W NARVA,"1,34",20,20,20,500
17638,LAMPADA 1141 12V 21W NARVA AMBAR,"3,06",20,20,20,500
17643,LAMPADA 1141 24V 21W NARVA,"1,68",20,20,20,500
17649,LAMPADA 1141 24V 21W NARVA (SERVIÇO PESADO) AMBAR,"7,22",20,20,20,500
17881,LAMPADA 1034 12V 21/4W NARVA (P.DESENCONTRADO),"3,70",20,20,20,500
17916,LAMPADA 1034 12V 21/5W NARVA (P.DESENCONTRADO),"1,86",20,20,20,500
17918,LAMPADA 1176 12V 21/5W 2P NARVA (P.ENCONTRADO),"1,70",20,20,20,500
17919,LAMPADA 1157 12V 21/5W 2P NARVA (BASE VIDRO),"9,20",20,20,20,500
17925,LAMPADA 1034 24V 21/5W NARVA (P.DESENCONTRADO),"2,28",20,20,20,500
17927,LAMPADA 1176 24V 21/5W 2P NARVA (P.ENCONTRADO),"2,52",20,20,20,500
17941,LAMPADA 3156 12V 27W 1P NARVA BASE PLASTICA (USA),"4,04",20,20,20,500
17945,LAMPADA 3157 12V 2P NARVA BASE PLASTICA (USA),"4,86",20,20,20,500
17948,LAMPADA 3157 12V 2P NARVA BASE PLASTICA(USA) AMBAR,"7,84",20,20,20,500
18010,"KIT LAMPADA TORPEDO LED 10,5X38 12V 0.35W NARVA","40,58",20,20,20,500
42001,LAMPADA MOTO FAROL M5 12V 18/18W ORIGINAL NARVA,"6,76",20,20,20,500
42005,LAMPADA MOTO FAROL M5 12V 25/25W ORIGINAL NARVA,"6,76",20,20,20,500
42007,LAMPADA MOTO FAROL M5 12V 35/35W ORIGINAL NARVA,"7,00",20,20,20,500
42017,LAMPADA MOTO FAROL M5 12V 35/35W ORIGINAL NARVA,"7,52",20,20,20,500
